gene,log2FC,pval,-log10p,gene_name
YNL021W,0.2981050799385209,0.7536067014659408,0.12285524822375354,HDA1
YDL102W,-0.40821799123779356,0.7537120614880962,0.12279453475367086,POL3
YJR143C,-0.17431413072841934,0.7540165010543749,0.12261914983520546,PMT4
YLR455W,-0.20304308755282785,0.7540255908860507,0.12261391435304038,PDP3
YOR371C,0.22611391486687463,0.7543433083842488,0.12243095783838542,GPB1
YNL009W,-0.22972302194865388,0.7544483167540685,0.12237050607701538,IDP3
YDR217C,0.2905979984065965,0.7548249845631507,0.12215373320460254,RAD9
YBL108C-A,0.14893663902004575,0.7549030623752488,0.12210881284553221,PAU9
YBR123C,0.26954358947903656,0.7551749472670224,0.12195242607778635,TFC1
YDR141C,0.15098737332229012,0.7552985169685017,0.12188136804085516,DOP1
YBL013W,0.31654082275156104,0.7556262115440726,0.12169298546233767,FMT1
YAL016W,-0.2580761325689034,0.7558529444954334,0.12156269075071462,TPD3
YOL116W,-0.30158339796893596,0.7561016779222164,0.12141979816109638,MSN1
YPL106C,0.08819934099514401,0.7561801504480521,0.12137472695235381,SSE1
YPR024W,0.21781278538708967,0.756207534165682,0.12135900003579274,YME1
YGR106C,-0.12072877714190201,0.7563975610093925,0.12124988019964464,VOA1
YEL036C,0.20327866807258232,0.7567031495038861,0.12107445843455793,ANP1
YBR286W,0.12265137862427625,0.7572718104701972,0.12074820953627888,APE3
YPL156C,0.19226916446254394,0.7578706706636482,0.12040489965720241,PRM4
YNL281W,-0.1727604327161977,0.758674159959199,0.11994470752449317,HCH1
YNL059C,-0.1460228013842656,0.7588510463358471,0.11984346271177916,ARP5
YNL252C,0.3194413879829234,0.7588779883218626,0.11982804394388043,MRPL17
YDL016C,0.1071868738133612,0.7598188299977077,0.1192899478663652,YDL016C
YPR065W,0.24832880410508695,0.7600844843187592,0.11913813267415589,ROX1
YNL118C,-0.1739892851484872,0.7610015737856575,0.11861444508787658,DCP2
YPL182C,0.1197754790204147,0.7611154439019308,0.11854946563798047,YPL182C
YML108W,0.20722440348711466,0.7613033118900111,0.11844228089573619,YML108W
YER025W,-0.18260694815490652,0.76245395539923,0.11778637823669216,GCD11
YOR301W,0.2888622075849153,0.7625941257176424,0.11770654443113769,RAX1
YML015C,-0.31208514743804006,0.7626500947014248,0.11767467147531868,TAF11
YDL047W,-0.17754003856852732,0.7629434614320459,0.11750764461113065,SIT4
YGR146C-A,-0.23514622677379943,0.763119509479957,0.11740744337755891,YGR146C-A
YPR079W,0.26782167369221344,0.7634651528963865,0.1172107808081958,MRL1
YMR234W,0.24333719944108032,0.7635735049607997,0.11714914948862923,RNH1
YCR050C,-0.1353380461610968,0.7639505934927517,0.1169347273762602,YCR050C
YER162C,0.26738662080665354,0.7639994790835557,0.11690693753846505,RAD4
YDL057W,0.42353724468587245,0.7655623720343132,0.11601942060668025,YDL057W
YPL117C,0.1955675910886413,0.7662730808634713,0.11561643091962688,IDI1
YJR103W,0.19569375519245327,0.7668471486977457,0.11529119288609462,URA8
YMR246W,-0.15141738643443745,0.766963214024524,0.11522546568502541,FAA4
YKL203C,0.18178249096282637,0.7684742705138383,0.11437066864689427,TOR2
YLR285W,0.1913780855977572,0.7686802944453732,0.11425425217300016,NNT1
YGR168C,0.2747274618597874,0.7691802728054826,0.11397186265714816,YGR168C
YIL029C,0.18611213796342785,0.7703650572213917,0.11330342448177791,YIL029C
YOL123W,0.19578836181198284,0.7708722735001627,0.11301757462002933,HRP1
YPR181C,0.131922011659683,0.7714329209520854,0.11270183152811233,SEC23
YGL130W,0.24415036165962223,0.771926012161614,0.11242432408112121,CEG1
YDR201W,0.24405516900528532,0.7724784879648361,0.11211360599795116,SPC19
YPL038W-A,-0.10432084265577601,0.7727097729601458,0.1119835949171007,YPL038W-A
YLR153C,0.11663318640170639,0.7727278043932894,0.11197346063276573,ACS2
YKL109W,0.19456580994604067,0.7728933233936599,0.1118804443204321,HAP4
YKL074C,-0.3192831509917264,0.7730587552936192,0.11178749685776772,MUD2
YIL128W,-0.2803122859771989,0.7734345891853105,0.11157640951093914,MET18
YOR211C,0.27545959416136917,0.7737166305489772,0.11141806815722603,MGM1
YER172C,-0.19503162828233728,0.7737372838905235,0.1114064753954859,BRR2
YAL037C-B,-0.04882905270416117,0.7738153207854988,0.11136267592424477,YAL037C-B
YDR027C,0.20988376705168782,0.7741299135372202,0.11118615043100251,VPS54
YGR037C,0.06937281004803604,0.774133127775056,0.11118434721576273,ACB1
YOL067C,0.17961977142462526,0.7747483858745124,0.1108393199051009,RTG1
YPR022C,0.20801574152600294,0.7748075281754374,0.11080616824568888,SDD4
YOR026W,-0.32381283006257033,0.7749477795978755,0.11072756174735365,BUB3
YDR235W,-0.2758046780817362,0.7755278982587546,0.11040257458551207,PRP42
YOR307C,-0.2926338667591197,0.7759862339048229,0.11014598311320652,SLY41
YMR147W,-0.33425032781193886,0.7762796675162196,0.1099817888219632,YMR147W
YDR410C,-0.27174873902767377,0.7765454737135239,0.10983310734739483,STE14
YGL022W,-0.1451147840954038,0.7769768201634605,0.10959193747355604,STT3
YLL057C,-0.3852304868445749,0.7773064636308025,0.1094077209378688,JLP1
YOR186W,-0.1794661688177372,0.7779221982893874,0.10906383558511079,YOR186W
YAL009W,0.19900613954552557,0.7779457422213921,0.10905069179637841,SPO7
YBL005W,-0.1776346612655309,0.7781830857113148,0.10891821308775468,PDR3
YGR093W,0.22183987359408927,0.7783391368851789,0.10883113156338337,DRN1
YOR358W,-0.26470562578041407,0.7785982578161046,0.10868657238988198,HAP5
YMR308C,-0.22983855371939982,0.7786664297078899,0.10864854844099342,PSE1
YJL014W,-0.12933723883137294,0.7786896452799733,0.10863560034901534,CCT3
YDR182W-A,-0.18623507728756053,0.779399244054117,0.10824001976899544,YDR182W-A
YBL011W,-0.18094767150633553,0.7803873281035545,0.10768979127570348,SCT1
YEL007W,0.32012077303001474,0.7809771113555233,0.10736169410945816,MIT1
YDL227C,-0.45741468723171597,0.7815524634515274,0.10704186368094307,HO
YGL017W,-0.2973328186648438,0.7816212485964046,0.10700364270953584,ATE1
YMR060C,0.27754172549277184,0.7817957771405718,0.10690667973326845,SAM37
YOR169C,-0.122938629439092,0.7819781562245621,0.10680537835145013,YOR169C
YER091C,0.20178652687754134,0.7822453567292962,0.10665700606969439,MET6
YER049W,0.17767041891074672,0.7825669711372981,0.10647848579326868,TPA1
YNL080C,0.1847641950629751,0.7833972334358575,0.10601796649464061,EOS1
YIL137C,-0.13831377314152624,0.7835738436144982,0.10592006956791399,TMA108
YER125W,0.17877599270877953,0.784799866545203,0.10524107947964571,RSP5
YCL021W-A,0.22984732220046777,0.7848540175017629,0.10521111432379562,YCL021W-A
YGL107C,0.22863481393022902,0.7850471606816212,0.1051042527979638,RMD9
YHL029C,0.42882553386192396,0.7850752468230661,0.1050887155937427,OCA5
YPR043W,0.27851821007501715,0.7850767184100936,0.1050879015297032,RPL43A
YOR295W,0.35670478876547657,0.7851983159903803,0.10502064049952707,UAF30
YOL106W,0.2376393245188747,0.785387912962404,0.10491578676069054,YOL106W
YML060W,-0.14656676493318277,0.7856053254495541,0.10479558122223206,OGG1
YGR119C,-0.21735098749982942,0.785985879164711,0.10458525632183127,NUP57
YDR185C,0.26601262086351896,0.7862819406184323,0.10442169912685817,UPS3
YPL120W,-0.2833306551368597,0.787810087722818,0.10357846245261249,VPS30
YBR218C,0.16985231761931113,0.7878864014535978,0.1035363951732542,PYC2
YKR023W,0.2339581908199579,0.7879261604959483,0.10351447996186523,YKR023W
YHR127W,-0.23447697161495812,0.788813234655025,0.10302581144231504,YHR127W
YPL005W,-0.37776700638535093,0.7894541584980197,0.10267308324829488,AEP3
YER129W,-0.22418879200972158,0.7895857096402803,0.10260072036948881,SAK1
YOR139C,0.14702147141953023,0.7897843742030293,0.10249146298302914,YOR139C
YER058W,0.17930799651100995,0.7908800305657304,0.10188939009879534,PET117
YGL058W,0.14742866105717745,0.791026997845872,0.1018086937268555,RAD6
YOL165C,0.2767873933273219,0.7910288968196842,0.10180765114188654,AAD15
YFL023W,-0.17216339789919652,0.7912814223207918,0.1016690305043601,BUD27
YJL051W,0.31508681094963215,0.7914863242849204,0.10155658470422278,IRC8
YHR098C,-0.10858680076882304,0.7916311028134029,0.10147715090466118,SFB3
YML016C,0.296155434678859,0.7921047181942671,0.10121739981504502,PPZ1
YJR090C,0.2348132605971807,0.7926788538445487,0.10090272725017356,GRR1
YNL272C,0.21254338321076127,0.792742893549961,0.10086764246501267,SEC2
YDL129W,0.4017487860069956,0.7928790398464567,0.10079306278848371,YDL129W
YNL333W,-0.2194587204008561,0.792987372977111,0.10073372805443145,SNZ2
YKL089W,0.25313183992223603,0.7930219477349596,0.10071479294938121,MIF2
YDR524C,-0.21776594473527824,0.7939234288503498,0.10022138174337146,AGE1
YGL025C,0.18179496182344332,0.7943391469412884,0.09999403384788258,PGD1
YKL059C,0.2287300089928248,0.7944104181680641,0.09995506898997458,MPE1
YOL094C,0.3112882246967828,0.7944545444327118,0.09993094636948827,RFC4
YGL247W,0.21515130859839482,0.7946531463084163,0.09982239274575877,BRR6
YBL002W,0.11102111171118786,0.7946850808813013,0.09980494018776895,HTB2
YDL141W,-0.22230319658638373,0.7947798137308706,0.09975317188006855,BPL1
YOL031C,-0.19623220443319958,0.7949317166701997,0.09967017492461505,SIL1
YPR180W,-0.16629210931979926,0.7949715898843283,0.0996483915660875,AOS1
YCR038C,0.22895447324687998,0.7951162949354671,0.09956934611710751,BUD5
YML126C,-0.1355935850653359,0.7954561140555193,0.09938377572735964,ERG13
YIL048W,0.21693268918894199,0.7958576609594058,0.09916459882960049,NEO1
YMR276W,-0.07669554094656884,0.7962072204620493,0.09897388830353339,DSK2
YCL010C,-0.1979399047764292,0.7963694887521663,0.09888538741962388,SGF29
YEL043W,0.24315715660925138,0.7966953285990201,0.09870772930062595,YEL043W
YER089C,0.1348594442841319,0.7970687338325637,0.09850422636160044,PTC2
YNL140C,-0.0799466625825871,0.7971357877130839,0.09846769261712321,YNL140C
YOL140W,0.24183314202341363,0.7974528823795839,0.09829496786584409,ARG8
YEL077C,-0.26498059821993025,0.7975474378252128,0.09824347582813296,YEL077C
YGL212W,0.3317550901868486,0.7975510173446944,0.09824152664994439,VAM7
YNR018W,0.13470645043211646,0.7976360888896601,0.09819520468252597,RCF2
YJR006W,-0.22227503424784054,0.7981113109857441,0.09793653424367679,POL31
YGL256W,-0.21383947456356928,0.798251074967799,0.09786048794383352,ADH4
YCR020W-B,0.15990396886874994,0.7990715994634524,0.09741430471764291,HTL1
YNL099C,0.15154869833505455,0.7999017737393093,0.09696334018569916,OCA1
YHL020C,0.2397110117442879,0.7999699032152486,0.0969263518998266,OPI1
YJR097W,0.34317778315798025,0.7999718641288536,0.096925287343634,JJJ3
YPL244C,-0.1767162035065109,0.7999808003314237,0.09692043602077723,HUT1
YML007C-A,0.14300006452283848,0.8000758171608774,0.09686885624001565,YML007C-A
YGR200C,-0.21577370554009428,0.8003080347698409,0.0967428229427417,ELP2
YFR008W,0.23063582476814484,0.800757404259715,0.09649903691107165,FAR7
YBR185C,0.19727021817448875,0.8018810538067753,0.0958900475593094,MBA1
YNR051C,-0.09812688417104898,0.8021424349985837,0.09574850797329622,BRE5
YDR196C,0.18107058981237684,0.8023130131334226,0.09565616369155348,CAB5
YGR232W,-0.1308545147322058,0.8024907336769526,0.09555997367225072,NAS6
YLR466C-B,0.3107963327592631,0.8029165161144168,0.09532960848928328,YLR466C-B
YIL163C,-0.2472585366820364,0.8035195580461156,0.09500354783886865,YIL163C
YPL003W,0.2323600793097504,0.8036181333908934,0.09495027209458055,ULA1
YHR064C,0.1034004721496494,0.8036372686067496,0.09493993108885562,SSZ1
YOR042W,-0.17822416963052296,0.8039413972631866,0.09477560768539275,CUE5
YPR195C,0.20981458309708267,0.8041779391520716,0.09464784498085167,YPR195C
YBR058C-A,0.12632145294435101,0.804336085577129,0.09456244675752189,TSC3
YBR194W,0.24540698963715193,0.8045058262123569,0.09447080640309358,AIM4
YDR438W,-0.29662110936357916,0.8047240269887392,0.09435303156375398,THI74
YDR225W,-0.11192829124415776,0.8047946175475518,0.09431493683240001,HTA1
YDL073W,0.23124396092356922,0.8058277600465408,0.09375777563296263,AHK1
YDL159W,-0.2454774706601279,0.8064351734723322,0.0934305382995827,STE7
YOL078W,0.3609694651947674,0.8066787757816621,0.09329936946358815,AVO1
YDR336W,-0.20483824485076374,0.8069383562566027,0.09315964069322415,MRX8
YLR328W,-0.22874445350445355,0.8079455511231116,0.09261790611101028,NMA1
YOL001W,-0.2228286184022211,0.8083505113684701,0.09240028261032766,PHO80
YLR230W,-0.10629144584983523,0.8086176963520761,0.09225675849584039,YLR230W
YKL146W,0.18755152671670694,0.8087452524880938,0.09218825571956503,AVT3
YNL268W,0.14306151039769424,0.8088398318519062,0.09213746977173438,LYP1
YGL005C,-0.20365439014508635,0.8089236569381901,0.09209246347420944,COG7
YOR189W,-0.15475628989036994,0.8089525991931196,0.09207692525048757,IES4
YCL050C,-0.10397030344800982,0.8091227397268866,0.09198559316791005,APA1
YML010W,-0.1385503448603407,0.8092144367196477,0.09193637783925611,SPT5
YPL157W,-0.2777442495820974,0.809823731728792,0.09160950046481084,TGS1
YMR216C,0.1527727033059109,0.8101204788730128,0.09145038924622229,SKY1
YPL241C,0.27160917511247923,0.810128079596917,0.09144631462145825,CIN2
YBR228W,0.37328318450783743,0.8101646718358196,0.09142669865091892,SLX1
