gene,class,gene_name
YBR063C,background,YBR063C
YBR065C,background,ECM2
YBR066C,background,NRG2
YBR067C,background,TIP1
YBR068C,background,BAP2
YBR069C,background,TAT1
YBR070C,background,ALG14
YBR071W,background,YBR071W
YBR072W,background,HSP26
YBR073W,background,RDH54
YBR074W,background,YBR074W
YBR076W,background,ECM8
YBR077C,entropy_specific,SLM4
YBR078W,background,ECM33
YBR079C,background,RPG1
YBR080C,background,SEC18
YBR081C,background,SPT7
YBR082C,background,UBC4
YBR083W,background,TEC1
YBR084W,background,MIS1
YBR085W,background,AAC3
YBR086C,background,IST2
YBR087W,background,RFC5
YBR088C,background,POL30
YBR090C,background,YBR090C
YBR091C,background,TIM12
YBR092C,background,PHO3
YBR093C,background,PHO5
YBR094W,background,PBY1
YBR095C,background,RXT2
YBR096W,background,YBR096W
YBR097W,background,VPS15
YBR098W,background,MMS4
YBR101C,background,FES1
YBR102C,background,EXO84
YBR103W,background,SIF2
YBR104W,background,YMC2
YBR105C,background,VID24
YBR106W,background,PHO88
YBR107C,background,IML3
YBR108W,background,AIM3
YBR109C,background,CMD1
YBR110W,background,ALG1
YBR111C,background,YSA1
YBR112C,background,CYC8
YBR113W,background,YBR113W
YBR114W,background,RAD16
YBR115C,background,LYS2
YBR116C,background,YBR116C
YBR117C,background,TKL2
YBR118W,background,TEF2
YBR119W,background,MUD1
YBR120C,background,CBP6
YBR121C,background,GRS1
YBR122C,background,MRPL36
YBR123C,background,TFC1
YBR125C,background,PTC4
YBR126C,background,TPS1
YBR127C,background,VMA2
YBR128C,background,ATG14
YBR129C,background,OPY1
YBR130C,background,SHE3
YBR131W,background,CCZ1
YBR132C,background,AGP2
YBR133C,background,HSL7
YBR134W,background,YBR134W
YBR135W,background,CKS1
YBR136W,background,MEC1
YBR137W,background,YBR137W
YBR138C,background,YBR138C
YBR139W,background,YBR139W
YBR140C,background,IRA1
YBR141C,background,BMT2
YBR142W,background,MAK5
YBR143C,background,SUP45
YBR145W,background,ADH5
YBR146W,background,MRPS9
YBR147W,background,RTC2
YBR148W,background,YSW1
YBR149W,background,ARA1
YBR150C,background,TBS1
YBR151W,background,APD1
YBR152W,background,SPP381
YBR153W,background,RIB7
YBR154C,background,RPB5
YBR155W,background,CNS1
YBR156C,background,SLI15
YBR157C,background,ICS2
YBR158W,background,AMN1
YBR159W,background,IFA38
YBR160W,background,CDC28
YBR161W,background,CSH1
YBR162C,background,TOS1
YBR163W,background,EXO5
YBR164C,background,ARL1
YBR165W,background,UBS1
YBR166C,background,TYR1
YBR167C,background,POP7
YBR168W,background,PEX32
YBR169C,background,SSE2
YBR170C,background,NPL4
YBR171W,background,SEC66
YBR172C,background,SMY2
YBR173C,background,UMP1
YBR175W,background,SWD3
YBR176W,background,ECM31
YBR177C,background,EHT1
YBR178W,background,YBR178W
YBR179C,background,FZO1
YBR180W,background,DTR1
YBR181C,time_specific,RPS6B
YBR182C,background,SMP1
YBR183W,background,YPC1
YBR184W,background,YBR184W
YBR185C,background,MBA1
YBR186W,background,PCH2
YBR187W,background,GDT1
YBR188C,background,NTC20
YBR189W,background,RPS9B
YBR191W,background,RPL21A
YBR192W,background,RIM2
YBR193C,background,MED8
YBR194W,background,AIM4
YBR195C,background,MSI1
YBR196C,background,PGI1
YBR197C,background,YBR197C
YBR198C,background,TAF5
YBR199W,background,KTR4
YBR200W,background,BEM1
YBR201W,background,DER1
YBR202W,background,MCM7
YBR203W,background,COS111
YBR204C,background,LDH1
YBR205W,background,KTR3
YBR206W,background,YBR206W
YBR207W,background,FTH1
YBR208C,background,"DUR1,2"
YBR209W,background,YBR209W
YBR210W,background,ERV15
YBR211C,background,AME1
YBR212W,background,NGR1
YBR213W,background,MET8
YBR214W,background,SDS24
YBR215W,background,HPC2
YBR216C,background,YBP1
YBR217W,background,ATG12
YBR218C,background,PYC2
YBR219C,background,YBR219C
YBR220C,background,YBR220C
YBR221C,background,PDB1
YBR222C,background,PCS60
YBR223C,background,TDP1
YBR224W,background,YBR224W
