gene,class,gene_name
YHR165C,background,PRP8
YHR166C,background,CDC23
YHR167W,background,THP2
YHR168W,background,MTG2
YHR169W,background,DBP8
YHR170W,background,NMD3
YHR171W,background,ATG7
YHR172W,background,SPC97
YHR173C,background,YHR173C
YHR174W,time_specific,ENO2
YHR175W,background,CTR2
YHR176W,background,FMO1
YHR177W,background,YHR177W
YHR178W,background,STB5
YHR179W,background,OYE2
YHR180W,background,YHR180W
YHR181W,background,SVP26
YHR182W,background,YHR182W
YHR183W,background,GND1
YHR186C,background,KOG1
YHR187W,background,IKI1
YHR188C,background,GPI16
YHR189W,background,PTH1
YHR190W,background,ERG9
YHR191C,background,CTF8
YHR192W,background,LNP1
YHR193C,background,EGD2
YHR194W,background,MDM31
YHR195W,background,NVJ1
YHR196W,background,UTP9
YHR197W,background,RIX1
YHR198C,background,AIM18
YHR199C,background,AIM46
YHR200W,background,RPN10
YHR201C,background,PPX1
YHR202W,background,YHR202W
YHR203C,entropy_specific,RPS4B
YHR204W,background,MNL1
YHR205W,background,SCH9
YHR206W,background,SKN7
YHR207C,background,SET5
YHR208W,background,BAT1
YHR209W,background,CRG1
YHR210C,background,YHR210C
YHR211W,background,FLO5
YHR214W,background,YHR214W
YHR215W,background,PHO12
YHR216W,background,IMD2
YHR218W,background,YHR218W
YHR219W,background,YHR219W
YIL001W,background,YIL001W
YIL002C,background,INP51
YIL003W,background,CFD1
YIL004C,background,BET1
YIL005W,background,EPS1
YIL006W,background,YIA6
YIL007C,background,NAS2
YIL008W,background,URM1
YIL009W,background,FAA3
YIL010W,background,DOT5
YIL011W,background,TIR3
YIL013C,background,PDR11
YIL014W,background,MNT3
YIL015W,background,BAR1
YIL016W,background,SNL1
YIL017C,background,VID28
YIL018W,time_specific,RPL2B
YIL019W,background,FAF1
YIL020C,background,HIS6
YIL021W,background,RPB3
YIL022W,background,TIM44
YIL023C,background,YKE4
YIL024C,background,YIL024C
YIL025C,background,YIL025C
YIL026C,background,IRR1
YIL027C,entropy_specific,YIL027C
YIL028W,background,YIL028W
YIL029C,background,YIL029C
YIL030C,background,SSM4
YIL031W,background,ULP2
YIL033C,background,BCY1
YIL034C,background,CAP2
YIL035C,background,CKA1
YIL036W,background,CST6
YIL037C,background,PRM2
YIL038C,background,NOT3
YIL039W,background,TED1
YIL040W,background,APQ12
YIL041W,background,GVP36
YIL042C,background,PKP1
YIL043C,background,CBR1
YIL044C,background,AGE2
YIL045W,background,PIG2
YIL046W,background,MET30
YIL047C,background,SYG1
YIL048W,background,NEO1
YIL049W,background,DFG10
YIL050W,background,PCL7
YIL051C,background,MMF1
YIL052C,background,RPL34B
YIL053W,background,YIL053W
YIL055C,background,YIL055C
YIL056W,background,VHR1
YIL057C,background,RGI2
YIL058W,background,YIL058W
YIL060W,background,YIL060W
YIL061C,background,SNP1
YIL062C,background,ARC15
YIL063C,background,YRB2
YIL064W,background,EFM4
YIL065C,background,FIS1
YIL066C,background,RNR3
YIL067C,background,YIL067C
YIL068C,background,SEC6
YIL069C,entropy_specific,RPS24B
YIL070C,background,MAM33
YIL071C,background,PCI8
YIL072W,background,HOP1
YIL073C,background,SPO22
YIL074C,background,SER33
YIL075C,background,RPN2
YIL076W,background,SEC28
YIL077C,background,YIL077C
YIL078W,entropy_specific,THS1
YIL079C,background,AIR1
YIL082W,background,YIL082W
YIL083C,background,CAB2
YIL084C,background,SDS3
YIL085C,background,KTR7
YIL086C,background,YIL086C
YIL087C,background,AIM19
YIL088C,entropy_specific,AVT7
YIL089W,background,YIL089W
YIL090W,background,ICE2
YIL091C,background,UTP25
YIL092W,background,YIL092W
YIL093C,background,RSM25
YIL094C,background,LYS12
YIL095W,background,PRK1
YIL096C,background,BMT5
YIL097W,background,FYV10
YIL098C,background,FMC1
YIL099W,background,SGA1
YIL101C,background,XBP1
YIL103W,background,DPH1
YIL104C,background,SHQ1
YIL105C,background,SLM1
YIL106W,background,MOB1
YIL107C,background,PFK26
YIL108W,background,YIL108W
YIL109C,background,SEC24
YIL110W,background,HPM1
YIL111W,background,COX5B
YIL112W,background,HOS4
YIL113W,background,SDP1
YIL114C,background,POR2
YIL115C,background,NUP159
YIL116W,background,HIS5
YIL117C,background,PRM5
YIL118W,background,RHO3
YIL119C,background,RPI1
YIL120W,background,QDR1
YIL121W,background,QDR2
YIL122W,background,POG1
YIL123W,background,SIM1
YIL124W,background,AYR1
YIL125W,background,KGD1
YIL126W,background,STH1
YIL127C,background,RRT14
YIL128W,background,MET18
YIL129C,background,TAO3
YIL130W,background,ASG1
YIL131C,background,FKH1
YIL132C,background,CSM2
YIL133C,background,RPL16A
YIL134W,background,FLX1
YIL135C,background,VHS2
YIL136W,background,OM45
YIL137C,background,TMA108
YIL138C,background,TPM2
YIL139C,background,REV7
YIL140W,background,AXL2
YIL142W,background,CCT2
YIL143C,background,SSL2
YIL144W,background,YIL144W
YIL145C,background,PAN6
YIL146C,background,ATG32
YIL147C,background,SLN1
YIL148W,entropy_specific,RPL40A
YIL149C,background,MLP2
YIL150C,background,MCM10
YIL151C,background,ESL1
YIL152W,background,YIL152W
YIL153W,background,RRD1
YIL154C,background,YIL154C
YIL155C,background,GUT2
YIL156W,background,UBP7
YIL157C,background,COA1
YIL158W,background,AIM20
YIL159W,background,BNR1
YIL160C,background,POT1
YIL161W,background,YIL161W
YIL162W,background,SUC2
YIL163C,background,YIL163C
YIL164C,background,NIT1
YIL165C,background,YIL165C
YIL166C,background,YIL166C
YIL169C,background,YIL169C
YIL173W,background,VTH1
YIL177C,background,YIL177C
YIR001C,background,SGN1
YIR002C,background,MPH1
YIR003W,background,AIM21
YIR004W,background,DJP1
YIR005W,background,IST3
YIR006C,background,PAN1
YIR007W,background,EGH1
YIR008C,background,PRI1
YIR009W,background,MSL1
YIR010W,background,DSN1
YIR011C,background,STS1
YIR012W,background,SQT1
YIR014W,background,YIR014W
YIR015W,background,RPR2
YIR016W,background,YIR016W
YIR018W,background,YAP5
YIR019C,background,YIR019C
YIR020C,background,YIR020C
YIR021W,background,MRS1
YIR022W,background,SEC11
YIR023W,background,DAL81
YIR024C,background,YIR024C
YIR025W,background,MND2
YIR026C,background,YVH1
YIR027C,background,DAL1
YIR028W,background,DAL4
YIR029W,background,DAL2
YIR030C,background,DCG1
YIR031C,background,DAL7
YIR032C,background,DAL3
YIR033W,background,MGA2
YIR034C,background,LYS1
YIR035C,background,YIR035C
YIR036C,background,IRC24
YIR037W,background,HYR1
YIR038C,background,GTT1
YIR039C,background,YPS6
YIR042C,background,YIR042C
YKL001C,background,MET14
YKL002W,background,DID4
YKL003C,background,MRP17
YKL004W,background,AUR1
YKL005C,background,BYE1
YKL006W,background,RPL14A
YKL007W,background,CAP1
YKL008C,background,LAC1
YKL009W,background,MRT4
YKL010C,background,UFD4
YKL011C,background,CCE1
YKL012W,background,PRP40
YKL013C,background,ARC19
YKL014C,background,URB1
YKL015W,background,PUT3
YKL016C,background,ATP7
YKL017C,background,HCS1
YKL018W,background,SWD2
YKL019W,background,RAM2
YKL020C,background,SPT23
YKL021C,background,MAK11
YKL022C,background,CDC16
YKL023W,background,YKL023W
YKL024C,background,URA6
YKL025C,background,PAN3
YKL026C,background,GPX1
YKL027W,background,TCD2
YKL028W,background,TFA1
YKL029C,background,MAE1
YKL031W,background,YKL031W
YKL032C,background,IXR1
YKL033W,background,TTI1
YKL034W,background,TUL1
YKL035W,background,UGP1
YKL036C,background,YKL036C
YKL037W,background,AIM26
YKL038W,background,RGT1
YKL039W,background,PTM1
YKL040C,background,NFU1
YKL041W,background,VPS24
YKL042W,background,SPC42
YKL043W,background,PHD1
YKL044W,background,MMO1
YKL045W,background,PRI2
YKL046C,background,DCW1
YKL047W,background,ANR2
YKL048C,background,ELM1
YKL049C,background,CSE4
YKL050C,background,YKL050C
YKL051W,background,SFK1
YKL052C,background,ASK1
YKL053W,background,YKL053W
YKL054C,background,DEF1
YKL055C,background,OAR1
YKL056C,time_specific,TMA19
YKL057C,background,NUP120
YKL058W,background,TOA2
YKL059C,background,MPE1
YKL060C,background,FBA1
YKL061W,background,BLI1
YKL062W,background,MSN4
YKL063C,background,YKL063C
YKL064W,background,MNR2
YKL065C,background,YET1
YKL066W,background,YKL066W
YKL067W,background,YNK1
YKL068W,background,NUP100
YKL069W,background,YKL069W
YKL070W,background,YKL070W
YKL071W,background,YKL071W
YKL072W,background,STB6
YKL073W,background,LHS1
YKL074C,background,MUD2
YKL075C,background,YKL075C
YKL076C,background,PSY1
YKL077W,background,YKL077W
YKL078W,background,DHR2
YKL079W,background,SMY1
YKL080W,background,VMA5
YKL081W,background,TEF4
YKL082C,background,RRP14
YKL083W,background,YKL083W
YKL084W,background,HOT13
YKL085W,entropy_specific,MDH1
YKL086W,background,SRX1
YKL087C,background,CYT2
YKL088W,background,CAB3
YKL089W,background,MIF2
YKL090W,background,CUE2
YKL091C,background,YKL091C
YKL092C,background,BUD2
YKL093W,background,MBR1
YKL094W,background,YJU3
YKL095W,background,YJU2
YKL096W,background,CWP1
YKL097C,background,YKL097C
YKL098W,background,MTC2
YKL099C,background,UTP11
YKL100C,background,YPF1
YKL101W,background,HSL1
YKL102C,background,YKL102C
YKL103C,background,YKL103C
YKL104C,background,GFA1
YKL105C,background,SEG2
YKL106W,background,AAT1
YKL107W,background,YKL107W
YKL108W,background,SLD2
YKL109W,background,HAP4
YKL110C,background,KTI12
YKL111C,background,YKL111C
YKL112W,background,ABF1
YKL113C,background,RAD27
YKL114C,background,APN1
YKL115C,background,YKL115C
YKL116C,background,PRR1
YKL117W,background,SBA1
YKL119C,background,VPH2
YKL120W,background,OAC1
YKL121W,background,DGR2
YKL122C,background,SRP21
YKL123W,background,YKL123W
YKL124W,background,SSH4
YKL125W,background,RRN3
YKL126W,background,YPK1
YKL127W,background,PGM1
YKL128C,background,PMU1
YKL129C,background,MYO3
YKL130C,background,SHE2
YKL132C,background,RMA1
YKL133C,background,YKL133C
YKL134C,background,OCT1
YKL135C,background,APL2
YKL136W,background,YKL136W
YKL137W,background,CMC1
YKL138C,background,MRPL31
YKL139W,background,CTK1
YKL140W,background,TGL1
YKL141W,background,SDH3
YKL142W,background,MRP8
YKL143W,background,LTV1
YKL144C,background,RPC25
YKL145W,background,RPT1
YKL146W,background,AVT3
YKL147C,background,YKL147C
YKL148C,background,SDH1
YKL149C,background,DBR1
YKL150W,background,MCR1
YKL151C,background,NNR2
YKL152C,background,GPM1
YKL153W,background,YKL153W
YKL154W,background,SRP102
YKL155C,background,RSM22
YKL156W,background,RPS27A
YKL157W,background,APE2
YKL159C,background,RCN1
YKL160W,background,ELF1
YKL161C,background,KDX1
YKL162C,background,YKL162C
YKL163W,background,PIR3
YKL164C,background,PIR1
YKL165C,background,MCD4
YKL166C,background,TPK3
YKL167C,background,MRP49
YKL168C,background,KKQ8
YKL169C,background,YKL169C
YKL170W,background,MRPL38
YKL171W,background,NNK1
YKL172W,background,EBP2
YKL173W,background,SNU114
YKL174C,background,TPO5
YKL175W,background,ZRT3
YKL176C,background,LST4
YKL178C,background,STE3
YKL179C,background,COY1
YKL180W,background,RPL17A
YKL181W,background,PRS1
YKL182W,background,FAS1
YKL183W,background,LOT5
YKL184W,background,SPE1
YKL185W,background,ASH1
YKL186C,background,MTR2
YKL187C,background,FAT3
YKL188C,background,PXA2
YKL189W,background,HYM1
YKL190W,background,CNB1
YKL191W,background,DPH2
YKL192C,background,ACP1
YKL193C,background,SDS22
YKL194C,background,MST1
YKL195W,background,MIA40
YKL196C,background,YKT6
YKL197C,background,PEX1
YKL198C,background,PTK1
YKL201C,background,MNN4
YKL202W,background,YKL202W
YKL203C,background,TOR2
YKL204W,background,EAP1
YKL205W,background,LOS1
YKL206C,background,ADD66
YKL207W,background,YKL207W
YKL208W,background,CBT1
YKL209C,background,STE6
YKL210W,background,UBA1
YKL211C,background,TRP3
YKL212W,background,SAC1
YKL213C,background,DOA1
YKL214C,background,YRA2
YKL215C,background,OXP1
YKL216W,time_specific,URA1
YKL217W,background,JEN1
YKL218C,background,SRY1
YKL219W,background,COS9
YKL220C,background,FRE2
YKL221W,background,MCH2
YKL222C,background,YKL222C
YKR001C,background,VPS1
YKR002W,background,PAP1
YKR003W,background,OSH6
YKR004C,background,ECM9
YKR005C,background,YKR005C
YKR006C,background,MRPL13
YKR007W,background,MEH1
YKR008W,background,RSC4
YKR009C,background,FOX2
YKR010C,background,TOF2
YKR011C,background,YKR011C
YKR012C,background,YKR012C
YKR013W,background,PRY2
YKR014C,background,YPT52
YKR015C,background,YKR015C
YKR016W,background,YKR016W
YKR017C,background,HEL1
YKR018C,background,YKR018C
YKR019C,background,IRS4
YKR020W,background,VPS51
YKR021W,background,ALY1
YKR022C,background,NTR2
YKR023W,background,YKR023W
YKR024C,background,DBP7
YKR025W,background,RPC37
YKR026C,background,GCN3
YKR027W,background,BCH2
YKR028W,background,SAP190
YKR029C,background,SET3
YKR030W,background,GMH1
YKR031C,background,SPO14
YKR035C,background,OPI8
YKR036C,background,CAF4
YKR037C,background,SPC34
YKR038C,background,KAE1
YKR039W,background,GAP1
YKR041W,background,YKR041W
YKR042W,background,UTH1
YKR043C,background,SHB17
YKR044W,background,UIP5
YKR045C,background,YKR045C
YKR046C,background,PET10
YKR047W,background,YKR047W
YKR048C,background,NAP1
YKR049C,background,FMP46
YKR050W,background,TRK2
YKR051W,background,YKR051W
YKR052C,background,MRS4
YKR053C,background,YSR3
YKR054C,background,DYN1
YKR055W,background,RHO4
YKR056W,background,TRM2
YKR057W,time_specific,RPS21A
YKR058W,background,GLG1
YKR059W,background,TIF1
YKR060W,background,UTP30
YKR061W,background,KTR2
YKR062W,background,TFA2
YKR063C,background,LAS1
YKR064W,background,OAF3
YKR065C,background,PAM17
YKR066C,background,CCP1
YKR067W,background,GPT2
YKR068C,background,BET3
YKR069W,background,MET1
YKR070W,background,YKR070W
YKR071C,background,DRE2
YKR072C,background,SIS2
YKR073C,background,YKR073C
YKR074W,background,AIM29
YKR075C,background,YKR075C
YKR076W,background,ECM4
YKR077W,background,MSA2
YKR078W,background,YKR078W
YKR079C,background,TRZ1
YKR080W,background,MTD1
YKR081C,background,RPF2
YKR082W,background,NUP133
YKR083C,background,DAD2
YKR084C,background,HBS1
YKR085C,background,MRPL20
YKR086W,background,PRP16
YKR087C,background,OMA1
YKR088C,background,TVP38
YKR089C,background,TGL4
YKR090W,background,PXL1
YKR091W,background,SRL3
YKR092C,background,SRP40
YKR093W,background,PTR2
YKR094C,background,RPL40B
YKR095W,background,MLP1
YKR096W,background,ESL2
YKR097W,background,PCK1
YKR098C,background,UBP11
YKR099W,background,BAS1
YKR100C,background,SKG1
YKR101W,background,SIR1
YKR102W,background,FLO10
YKR103W,background,NFT1
YKR105C,background,VBA5
YKR106W,background,GEX2
YFL062W,background,COS4
YFL061W,background,DDI2
YFL060C,background,SNO3
YFL059W,background,SNZ3
YFL058W,background,THI5
YFL057C,background,None
YFL056C,background,AAD6
YFL055W,background,AGP3
YFL054C,background,AQY3
YFL053W,background,DAK2
YFL052W,background,YFL052W
YFL051C,background,YFL051C
YFL050C,background,ALR2
YFL049W,background,SWP82
YFL048C,background,EMP47
YFL047W,background,RGD2
YFL046W,background,FMP32
YFL045C,background,SEC53
YFL044C,background,OTU1
YFL042C,background,YFL042C
YFL041W,background,FET5
YFL040W,background,YFL040W
YFL039C,entropy_specific,ACT1
YFL038C,background,YPT1
YFL037W,background,TUB2
YFL036W,background,RPO41
YFL034C-B,background,MOB2
YFL034W,background,MIL1
YFL033C,background,RIM15
YFL032W,background,YFL032W
YFL031W,background,HAC1
YFL030W,background,AGX1
YFL029C,background,CAK1
YFL028C,background,CAF16
YFL027C,background,GYP8
YFL026W,background,STE2
YFL025C,background,BST1
YFL024C,background,EPL1
YFL023W,background,BUD27
YFL022C,background,FRS2
YFL021W,background,GAT1
YFL020C,background,PAU5
YFL019C,background,YFL019C
YFL018C,background,LPD1
YFL017C,background,GNA1
YFL016C,background,MDJ1
YFL014W,background,HSP12
YFL013C,background,IES1
YFL012W,background,YFL012W
YFL011W,background,HXT10
YFL010C,background,WWM1
YFL009W,background,CDC4
YFL008W,background,SMC1
YFL007W,background,BLM10
YFL005W,background,SEC4
YFL004W,background,VTC2
YFL003C,background,MSH4
YFL002C,background,SPB4
YFL001W,background,DEG1
YFR001W,background,LOC1
YFR002W,background,NIC96
YFR003C,background,YPI1
YFR004W,background,RPN11
YFR005C,background,SAD1
YFR006W,background,YFR006W
YFR007W,background,YFH7
YFR008W,background,FAR7
YFR009W,background,GCN20
YFR010W,background,UBP6
YFR011C,background,YFR011C
YFR012W,background,DCV1
YFR013W,background,IOC3
YFR014C,background,CMK1
YFR015C,background,GSY1
YFR016C,background,YFR016C
YFR017C,background,IGD1
YFR018C,background,YFR018C
YFR019W,background,FAB1
YFR020W,background,CSS2
YFR021W,background,ATG18
YFR022W,background,ROG3
YFR025C,background,HIS2
YFR026C,background,ULI1
YFR027W,background,ECO1
YFR028C,background,CDC14
YFR029W,background,PTR3
YFR030W,background,MET10
YFR031C,background,SMC2
YFR033C,background,QCR6
YFR034C,background,PHO4
YFR035C,background,YFR035C
YFR036W,background,CDC26
YFR037C,background,RSC8
YFR038W,background,IRC5
YFR039C,background,OSW7
YFR040W,background,SAP155
YFR041C,background,ERJ5
YFR042W,background,KEG1
YFR043C,background,IRC6
YFR044C,background,DUG1
YFR045W,background,YFR045W
YFR046C,background,CNN1
YFR047C,background,BNA6
YFR048W,background,RMD8
YFR049W,background,YMR31
YFR050C,background,PRE4
YFR051C,background,RET2
YFR052W,background,RPN12
YFR053C,background,HXK1
YFR056C,background,YFR056C
YFR055W,background,IRC7
YER044C-A,background,MEI4
YFL010W-A,background,AUA1
YKL096W-A,background,CWP2
YHR039C-A,background,VMA10
YKL006C-A,background,SFT1
YEL017C-A,background,PMP2
YFR031C-A,time_specific,RPL2A
YER019C-A,background,SBH2
YER087C-B,background,SBH1
YAR002C-A,background,ERP1
YCR079W,background,PTC6
YAL034C,background,FUN19
YER056C-A,background,RPL34A
YAL034C-B,background,YAL034C-B
YAL064C-A,background,TDA8
YAL064W-B,background,YAL064W-B
YAL068C,background,PAU8
YBL113C,background,YBL113C
YBR084C-A,background,RPL19A
YBR089C-A,background,NHP6B
YBR162W-A,background,YSY6
YDL001W,background,RMD1
YDL002C,background,NHP10
YDL003W,background,MCD1
YDL004W,background,ATP16
YDL005C,background,MED2
YDL006W,background,PTC1
YDL007W,background,RPT2
YDL008W,background,APC11
YDL009C,background,YDL009C
YDL010W,background,GRX6
YDL012C,background,YDL012C
YDL013W,background,SLX5
YDL014W,background,NOP1
YDL015C,background,TSC13
YDL016C,background,YDL016C
YDL017W,background,CDC7
YDL018C,background,ERP3
YDL019C,background,OSH2
YDL020C,background,RPN4
YDL021W,background,GPM2
YDL022W,background,GPD1
YDL024C,background,DIA3
YDL025C,background,RTK1
YDL027C,background,MRX9
YDL028C,background,MPS1
YDL029W,background,ARP2
YDL030W,background,PRP9
YDL031W,background,DBP10
YDL033C,background,SLM3
YDL034W,background,YDL034W
YDL035C,background,GPR1
YDL036C,background,PUS9
YDL037C,background,BSC1
YDL039C,background,PRM7
YDL040C,background,NAT1
YDL042C,background,SIR2
YDL043C,background,PRP11
YDL044C,background,MTF2
YDL045C,background,FAD1
YDL046W,background,NPC2
YDL047W,background,SIT4
YDL048C,background,STP4
YDL049C,background,KNH1
YDL050C,background,YDL050C
YDL051W,background,LHP1
YDL052C,background,SLC1
YDL053C,background,PBP4
YDL054C,background,MCH1
YDL055C,background,PSA1
YDL056W,background,MBP1
YDL057W,background,YDL057W
YDL058W,background,USO1
YDL059C,background,RAD59
YDL060W,background,TSR1
YDL061C,background,RPS29B
YDL063C,background,SYO1
YDL064W,background,UBC9
YDL065C,background,PEX19
YDL066W,background,IDP1
YDL067C,background,COX9
YDL069C,background,CBS1
YDL070W,background,BDF2
YDL071C,background,YDL071C
YDL072C,background,YET3
YDL073W,background,AHK1
YDL074C,background,BRE1
YDL075W,time_specific,RPL31A
YDL076C,background,RXT3
YDL077C,background,VAM6
YDL078C,background,MDH3
YDL079C,background,MRK1
YDL080C,background,THI3
YDL081C,background,RPP1A
YDL082W,background,RPL13A
YDL083C,time_specific,RPS16B
YDL084W,background,SUB2
YDL085W,background,NDE2
YDL086W,background,YDL086W
YDL087C,background,LUC7
YDL088C,background,ASM4
YDL089W,background,NUR1
YDL090C,background,RAM1
YDL091C,background,UBX3
YDL092W,background,SRP14
YDL093W,background,PMT5
YDL094C,background,YDL094C
YDL095W,background,PMT1
YDL097C,background,RPN6
YDL098C,background,SNU23
YDL099W,background,BUG1
YDL100C,background,GET3
YDL101C,background,DUN1
YDL102W,background,POL3
YDL103C,background,QRI1
YDL104C,background,QRI7
YDL105W,background,NSE4
YDL106C,background,PHO2
YDL107W,background,MSS2
YDL108W,background,KIN28
YDL109C,background,YDL109C
YDL110C,background,TMA17
YDL111C,background,RRP42
YDL112W,background,TRM3
YDL113C,background,ATG20
YDL115C,background,IWR1
YDL116W,background,NUP84
YDL117W,background,CYK3
YDL119C,background,HEM25
YDL120W,background,YFH1
YDL121C,background,YDL121C
YDL122W,background,UBP1
YDL123W,background,SNA4
YDL124W,background,YDL124W
YDL125C,background,HNT1
YDL126C,background,CDC48
YDL127W,background,PCL2
YDL128W,background,VCX1
YDL129W,background,YDL129W
YDL130W,time_specific,RPP1B
YDL131W,background,LYS21
YDL132W,background,CDC53
YDL133W,background,SRF1
YDL134C,background,PPH21
YDL133C-A,background,RPL41B
YDL135C,background,RDI1
YDL136W,background,RPL35B
YDL137W,background,ARF2
YDL138W,background,RGT2
YDL139C,background,SCM3
YDL140C,background,RPO21
YDL141W,background,BPL1
YDL142C,background,CRD1
YDL143W,background,CCT4
YDL144C,background,YDL144C
YDL145C,background,COP1
YDL146W,background,LDB17
YDL147W,background,RPN5
YDL148C,background,NOP14
YDL149W,background,ATG9
YDL150W,background,RPC53
YDL152W,background,YDL152W
YDL153C,background,SAS10
YDL154W,background,MSH5
YDL155W,background,CLB3
YDL156W,background,CMR1
YDL157C,background,YDL157C
YDL158C,background,YDL158C
YDL159W,background,STE7
YDL160C,background,DHH1
YDL161W,background,ENT1
YDL164C,background,CDC9
YDL165W,background,CDC36
YDL166C,background,FAP7
YDL167C,background,NRP1
YDL168W,background,SFA1
YDL169C,background,UGX2
YDL170W,background,UGA3
YDL171C,background,GLT1
YDL173W,background,PAR32
YDL174C,background,DLD1
YDL175C,background,AIR2
YDL176W,background,YDL176W
YDL177C,background,YDL177C
YDL178W,background,DLD2
YDL179W,background,PCL9
YDL180W,background,YDL180W
YDL181W,background,INH1
YDL182W,background,LYS20
YDL183C,background,YDL183C
YDL184C,background,RPL41A
YDL185W,background,VMA1
YDL186W,background,YDL186W
YDL188C,background,PPH22
YDL189W,background,RBS1
YDL190C,background,UFD2
YDL191W,background,RPL35A
YDL192W,entropy_specific,ARF1
YDL193W,background,NUS1
YDL194W,background,SNF3
YDL195W,background,SEC31
YDL196W,background,YDL196W
YDL197C,background,ASF2
YDL198C,background,GGC1
YDL199C,background,YDL199C
YDL200C,background,MGT1
YDL201W,background,TRM8
YDL202W,background,MRPL11
YDL203C,background,ACK1
YDL204W,background,RTN2
YDL205C,background,HEM3
YDL206W,background,YDL206W
YDL207W,background,GLE1
YDL208W,background,NHP2
YDL209C,background,CWC2
YDL210W,background,UGA4
YDL211C,background,YDL211C
YDL212W,background,SHR3
YDL213C,background,NOP6
YDL214C,background,PRR2
YDL215C,background,GDH2
YDL216C,background,RRI1
YDL217C,background,TIM22
YDL218W,background,YDL218W
YDL219W,background,DTD1
YDL220C,background,CDC13
YDL221W,background,YDL221W
YDL222C,background,FMP45
YDL223C,background,HBT1
YDL224C,background,WHI4
YDL225W,background,SHS1
YDL226C,background,GCS1
YDL227C,background,HO
YDL228C,background,YDL228C
YDL229W,entropy_specific,SSB1
YDL230W,background,PTP1
YDL231C,background,BRE4
YDL232W,background,OST4
YDL233W,background,MFG1
YDL234C,background,GYP7
YDL235C,background,YPD1
YDL236W,background,PHO13
YDL237W,background,AIM6
YDL238C,background,GUD1
YDL239C,background,ADY3
YDL240W,background,LRG1
YDL241W,background,YDL241W
YDL242W,background,YDL242W
YDL243C,background,AAD4
YDL244W,background,THI13
YDL245C,background,HXT15
YDL247W,background,MPH2
YDL248W,background,COS7
YDR001C,background,NTH1
YDR002W,background,YRB1
YDR003W,background,RCR2
YDR004W,background,RAD57
YDR005C,background,MAF1
YDR006C,background,SOK1
YDR007W,background,TRP1
YDR008C,background,YDR008C
YDR009W,background,GAL3
YDR010C,background,YDR010C
YDR011W,background,SNQ2
YDR012W,background,RPL4B
YDR013W,background,PSF1
YDR014W,background,RAD61
YDR016C,background,DAD1
YDR017C,background,KCS1
YDR018C,background,YDR018C
YDR019C,background,GCV1
YDR020C,background,DAS2
YDR021W,background,FAL1
YDR022C,background,YDR022C
YDR023W,background,SES1
YDR024W,background,FYV1
YDR025W,time_specific,RPS11A
YDR026C,background,NSI1
YDR027C,background,VPS54
YDR028C,background,REG1
YDR029W,background,YDR029W
YDR030C,background,RAD28
YDR031W,background,MIX14
YDR032C,background,PST2
YDR033W,background,MRH1
YDR034C,background,LYS14
YDR035W,background,ARO3
YDR036C,background,EHD3
YDR037W,background,KRS1
YDR038C,background,ENA5
YDR039C,background,ENA2
YDR040C,background,ENA1
YDR041W,background,RSM10
YDR042C,background,YDR042C
YDR043C,background,NRG1
YDR044W,background,HEM13
YDR045C,background,RPC11
YDR046C,background,BAP3
YDR047W,background,HEM12
YDR049W,background,VMS1
YDR050C,background,TPI1
YDR051C,background,DET1
YDR052C,background,DBF4
YDR054C,background,CDC34
YDR055W,background,PST1
YDR056C,background,EMC10
YDR057W,background,YOS9
YDR058C,background,TGL2
YDR059C,background,UBC5
YDR060W,background,MAK21
YDR061W,background,YDR061W
YDR062W,background,LCB2
YDR063W,background,AIM7
YDR064W,time_specific,RPS13
YDR065W,background,RRG1
YDR066C,background,RTR2
YDR067C,background,OCA6
YDR068W,background,DOS2
YDR069C,background,DOA4
YDR070C,background,FMP16
YDR071C,background,PAA1
YDR072C,background,IPT1
YDR073W,background,SNF11
YDR074W,background,TPS2
YDR075W,background,PPH3
YDR076W,background,RAD55
YDR077W,time_specific,SED1
YDR078C,background,SHU2
YDR079W,background,PET100
YDR080W,background,VPS41
YDR081C,background,PDC2
YDR082W,background,STN1
YDR083W,background,RRP8
YDR084C,background,TVP23
YDR085C,background,AFR1
YDR086C,background,SSS1
YDR087C,background,RRP1
YDR088C,background,SLU7
YDR089W,background,VTC5
YDR090C,background,YDR090C
YDR091C,background,RLI1
YDR092W,background,UBC13
YDR093W,background,DNF2
YDR096W,background,GIS1
YDR097C,background,MSH6
YDR098C,background,GRX3
YDR099W,background,BMH2
YDR100W,background,TVP15
YDR101C,background,ARX1
YDR102C,background,YDR102C
YDR103W,background,STE5
YDR104C,background,SPO71
YDR105C,background,TMS1
YDR106W,background,ARP10
YDR107C,background,TMN2
YDR108W,background,TRS85
YDR109C,background,YDR109C
YDR110W,background,FOB1
YDR111C,background,ALT2
YDR112W,background,IRC2
YDR113C,background,PDS1
YDR115W,background,MRX14
YDR116C,background,MRPL1
YDR117C,background,TMA64
YDR118W,background,APC4
YDR119W,background,VBA4
YDR120C,background,TRM1
YDR121W,background,DPB4
YDR122W,background,KIN1
YDR123C,background,INO2
YDR124W,background,YDR124W
YDR125C,background,ECM18
YDR126W,background,SWF1
YDR127W,background,ARO1
YDR128W,background,MTC5
YDR129C,background,SAC6
YDR130C,background,FIN1
YDR131C,background,YDR131C
YDR132C,background,YDR132C
YDR133C,background,YDR133C
YDR135C,background,YCF1
YDR136C,background,VPS61
YDR137W,background,RGP1
